day,time,operation
7,14:57,запустил test
7,14:57,запустил test
7,14:57,запустил test
7,14:57,запустил test
7,15:00,стартовал grafana
7,15:00,стартовал grafana
7,15:00,стартовал grafana
7,15:00,стартовал grafana
7,15:02,запустил test
7,15:02,перешел в status TEST_STOPPING
7,15:02,перешел в status CANCELED
7,15:02,перешел в status TEST_STOPPING
7,15:02,перешел в status CANCELED
7,15:02,перешел в status TEST_STOPPING
7,15:02,перешел в status CANCELED
7,15:02,перешел в status TEST_STOPPING
7,15:02,перешел в status CANCELED
7,15:04,запустил test
7,15:04,запустил test
7,15:04,запустил test
7,15:04,стартовал grafana
7,15:04,запустил test
7,15:06,стартовал grafana
7,15:06,стартовал grafana
7,15:06,стартовал grafana
7,15:07,стартовал grafana
7,15:09,перешел в status TEST_STOPPING
7,15:09,перешел в status CANCELED
7,15:09,перешел в status TEST_STOPPING
7,15:09,перешел в status CANCELED
7,15:09,перешел в status TEST_STOPPING
7,15:09,перешел в status CANCELED
7,15:09,перешел в status TEST_STOPPING
7,15:09,перешел в status CANCELED
7,15:11,запустил test
7,15:11,запустил test
7,15:11,запустил test
7,15:11,запустил test
7,15:11,стартовал grafana
7,15:11,стартовал grafana
7,15:11,стартовал grafana
7,15:11,стартовал grafana
7,15:14,перешел в status TEST_STOPPING
7,15:14,перешел в status CANCELED
7,15:14,перешел в status TEST_STOPPING
7,15:14,перешел в status CANCELED
7,15:14,перешел в status TEST_STOPPING
7,15:14,перешел в status CANCELED
7,15:14,перешел в status TEST_STOPPING
7,15:14,перешел в status CANCELED
7,15:15,запустил test
7,15:15,запустил test
7,15:15,запустил test
7,15:16,запустил test
7,15:16,стартовал grafana
7,15:16,стартовал grafana
7,15:16,стартовал grafana
7,15:16,стартовал grafana
7,15:16,перешел в status FINISHED
7,15:17,перешел в status TEST_STOPPING
7,15:17,перешел в status CANCELED
7,15:17,перешел в status TEST_STOPPING
7,15:17,перешел в status CANCELED
7,15:17,перешел в status TEST_STOPPING
7,15:17,перешел в status CANCELED
7,15:17,перешел в status TEST_STOPPING
7,15:17,перешел в status CANCELED
7,15:19,запустил test
7,15:19,запустил test
7,15:19,запустил test
7,15:19,запустил test
7,15:21,стартовал grafana
7,15:21,стартовал grafana
7,15:21,стартовал grafana
7,15:21,стартовал grafana
7,15:24,перешел в status TEST_STOPPING
7,15:24,перешел в status CANCELED
7,15:24,перешел в status TEST_STOPPING
7,15:24,перешел в status CANCELED
7,15:25,перешел в status TEST_STOPPING
7,15:25,перешел в status CANCELED
7,15:25,перешел в status TEST_STOPPING
7,15:25,перешел в status CANCELED
7,15:25,запустил test
7,15:25,запустил test
7,15:25,запустил test
7,15:25,запустил test
7,15:26,стартовал grafana
7,15:26,стартовал grafana
7,15:26,стартовал grafana
7,15:26,стартовал grafana
7,15:40,перешел в status TEST_STOPPING
7,15:40,перешел в status CANCELED
7,15:40,перешел в status TEST_STOPPING
7,15:40,перешел в status CANCELED
7,15:40,перешел в status TEST_STOPPING
7,15:40,перешел в status CANCELED
